,uncertainty_noise,trial,whether,how,sufficient,moving,unique
0,0.5,0,0.0,0.0,0.0,1.0,0
1,0.5,1,0.152,0.0,1.0,1.0,0
2,0.5,2,0.0,1.0,0.0,1.0,1
3,0.5,3,0.079,1.0,0.0,1.0,1
4,0.5,4,0.0,1.0,0.0,1.0,1
5,0.5,5,0.0,1.0,1.0,1.0,1
6,0.5,6,0.0,1.0,1.0,1.0,0
7,0.5,7,0.018,0.0,1.0,1.0,0
8,0.5,8,0.686,1.0,0.0,1.0,0
9,0.5,9,0.938,1.0,0.946,1.0,1
10,0.5,10,0.987,1.0,0.002,1.0,0
11,0.5,11,1.0,1.0,0.0,1.0,0
12,0.5,12,1.0,1.0,1.0,1.0,1
13,0.5,13,1.0,1.0,1.0,1.0,0
14,0.5,14,1.0,1.0,1.0,0.0,1
15,0.5,15,1.0,1.0,1.0,1.0,1
16,0.5,16,1.0,1.0,0.0,1.0,1
17,0.5,17,0.156,1.0,0.02,0.0,0
18,0.5,18,1.0,0.0,1.0,1.0,0
19,0.5,19,1.0,1.0,0.002,1.0,0
20,0.5,20,0.032,1.0,0.033,1.0,1
21,0.5,21,1.0,1.0,1.0,0.0,1
22,0.5,22,0.0,0.0,0.0,1.0,0
23,0.5,23,0.0,0.0,0.0,1.0,0
24,0.5,24,1.0,1.0,0.331,1.0,0
25,0.5,25,1.0,0.0,0.0,1.0,0
26,0.5,26,0.999,1.0,0.0,1.0,1
27,0.5,27,0.944,1.0,0.946,0.0,1
28,0.5,28,0.0,1.0,0.001,1.0,1
29,0.5,29,0.0,0.0,0.0,1.0,0
30,0.6,0,0.0,0.0,0.0,1.0,0
31,0.6,1,0.205,0.0,1.0,1.0,0
32,0.6,2,0.0,1.0,0.0,1.0,1
33,0.6,3,0.143,1.0,0.0,1.0,1
34,0.6,4,0.002,1.0,0.002,1.0,1
35,0.6,5,0.0,1.0,1.0,1.0,1
36,0.6,6,0.0,1.0,1.0,1.0,0
37,0.6,7,0.037,0.0,1.0,1.0,0
38,0.6,8,0.665,1.0,0.0,1.0,0
39,0.6,9,0.918,1.0,0.909,1.0,1
40,0.6,10,0.967,1.0,0.019,1.0,0
41,0.6,11,1.0,1.0,0.0,1.0,0
42,0.6,12,1.0,1.0,1.0,1.0,1
43,0.6,13,1.0,1.0,1.0,1.0,0
44,0.6,14,1.0,1.0,1.0,0.0,1
45,0.6,15,1.0,1.0,1.0,1.0,1
46,0.6,16,1.0,1.0,0.0,1.0,1
47,0.6,17,0.229,1.0,0.023,0.0,0
48,0.6,18,1.0,0.0,1.0,1.0,0
49,0.6,19,0.996,1.0,0.005,1.0,0
50,0.6,20,0.074,1.0,0.087,1.0,1
51,0.6,21,1.0,1.0,1.0,0.0,1
52,0.6,22,0.0,0.0,0.0,1.0,0
53,0.6,23,0.0,0.0,0.0,1.0,0
54,0.6,24,1.0,1.0,0.346,1.0,0
55,0.6,25,1.0,0.0,0.0,1.0,0
56,0.6,26,0.996,1.0,0.007,1.0,1
57,0.6,27,0.915,1.0,0.911,0.0,1
58,0.6,28,0.008,1.0,0.01,1.0,1
59,0.6,29,0.0,0.0,0.0,1.0,0
60,0.7,0,0.0,0.0,0.0,1.0,0
61,0.7,1,0.221,0.0,1.0,1.0,0
62,0.7,2,0.0,1.0,0.0,1.0,1
63,0.7,3,0.203,1.0,0.0,1.0,1
64,0.7,4,0.003,1.0,0.006,1.0,1
65,0.7,5,0.0,1.0,1.0,1.0,1
66,0.7,6,0.0,1.0,1.0,1.0,0
67,0.7,7,0.047,0.0,1.0,1.0,0
68,0.7,8,0.608,1.0,0.0,1.0,0
69,0.7,9,0.887,1.0,0.867,1.0,1
70,0.7,10,0.935,1.0,0.019,1.0,0
71,0.7,11,1.0,1.0,0.0,1.0,0
72,0.7,12,1.0,1.0,1.0,1.0,1
73,0.7,13,1.0,1.0,1.0,1.0,0
74,0.7,14,1.0,1.0,1.0,0.0,1
75,0.7,15,1.0,1.0,0.999,1.0,1
76,0.7,16,1.0,1.0,0.0,1.0,1
77,0.7,17,0.249,1.0,0.018,0.0,0
78,0.7,18,1.0,0.0,1.0,1.0,0
79,0.7,19,0.989,1.0,0.007,1.0,0
80,0.7,20,0.131,1.0,0.133,1.0,1
81,0.7,21,1.0,1.0,1.0,0.0,1
82,0.7,22,0.0,0.0,0.0,1.0,0
83,0.7,23,0.0,0.0,0.0,1.0,0
84,0.7,24,1.0,1.0,0.376,1.0,0
85,0.7,25,1.0,0.0,0.0,1.0,0
86,0.7,26,0.988,1.0,0.012,1.0,1
87,0.7,27,0.878,1.0,0.869,0.0,1
88,0.7,28,0.021,1.0,0.015,1.0,1
89,0.7,29,0.0,0.0,0.0,1.0,0
90,0.8,0,0.0,0.0,0.0,1.0,0
91,0.8,1,0.246,0.0,1.0,1.0,0
92,0.8,2,0.0,1.0,0.0,1.0,1
93,0.8,3,0.248,1.0,0.0,1.0,1
94,0.8,4,0.013,1.0,0.02,1.0,1
95,0.8,5,0.0,1.0,1.0,1.0,1
96,0.8,6,0.0,1.0,1.0,1.0,0
97,0.8,7,0.072,0.0,1.0,1.0,0
98,0.8,8,0.639,1.0,0.0,1.0,0
99,0.8,9,0.858,1.0,0.849,1.0,1
100,0.8,10,0.914,1.0,0.037,1.0,0
101,0.8,11,1.0,1.0,0.0,1.0,0
102,0.8,12,1.0,1.0,1.0,1.0,1
103,0.8,13,1.0,1.0,1.0,1.0,0
104,0.8,14,1.0,1.0,1.0,0.0,1
105,0.8,15,0.999,1.0,0.999,1.0,1
106,0.8,16,1.0,1.0,0.0,1.0,1
107,0.8,17,0.289,1.0,0.027,0.0,0
108,0.8,18,1.0,0.0,1.0,1.0,0
109,0.8,19,0.978,1.0,0.023,1.0,0
110,0.8,20,0.169,1.0,0.19,1.0,1
111,0.8,21,1.0,1.0,1.0,0.0,1
112,0.8,22,0.0,0.0,0.0,1.0,0
113,0.8,23,0.0,0.0,0.0,1.0,0
114,0.8,24,1.0,1.0,0.37,1.0,0
115,0.8,25,1.0,0.0,0.0,1.0,0
116,0.8,26,0.97,1.0,0.028,1.0,1
117,0.8,27,0.816,1.0,0.828,0.0,1
118,0.8,28,0.051,1.0,0.049,1.0,1
119,0.8,29,0.0,0.0,0.0,1.0,0
120,0.9,0,0.0,0.0,0.0,1.0,0
121,0.9,1,0.32,0.0,1.0,1.0,0
122,0.9,2,0.0,1.0,0.0,1.0,1
123,0.9,3,0.333,1.0,0.0,1.0,1
124,0.9,4,0.037,1.0,0.041,1.0,1
125,0.9,5,0.0,1.0,1.0,1.0,1
126,0.9,6,0.0,1.0,1.0,1.0,0
127,0.9,7,0.101,0.0,1.0,1.0,0
128,0.9,8,0.618,1.0,0.0,1.0,0
129,0.9,9,0.785,1.0,0.795,1.0,1
130,0.9,10,0.905,1.0,0.039,1.0,0
131,0.9,11,0.997,1.0,0.001,1.0,0
132,0.9,12,1.0,1.0,1.0,1.0,1
133,0.9,13,1.0,1.0,1.0,1.0,0
134,0.9,14,0.999,1.0,0.999,0.0,1
135,0.9,15,0.999,1.0,0.999,1.0,1
136,0.9,16,1.0,1.0,0.0,1.0,1
137,0.9,17,0.314,1.0,0.036,0.0,0
