workerid,proliferate.condition,fill_num,item,order,response,verb,error
174,condition1,0,The lightning strike caused the fire.,37,6,caused,
174,condition1,1,The crank caused him to open the window.,42,0,caused,
174,condition1,2,Receiving the loan enabled her to buy the house.,43,6,enabled,
174,condition1,4,The distracting noise affected his performance.,52,6,affected,
174,condition1,5,The earthquake affected the building to fall.,54,0,affected,
174,condition1,3,The cold breeze enabled him to close the window.,64,0,enabled,
121,condition1,0,The lightning strike caused the fire.,0,6,caused,
121,condition1,1,The crank caused him to open the window.,4,1,caused,
121,condition1,2,Receiving the loan enabled her to buy the house.,33,5,enabled,
121,condition1,5,The earthquake affected the building to fall.,34,1,affected,
121,condition1,3,The cold breeze enabled him to close the window.,50,4,enabled,
121,condition1,4,The distracting noise affected his performance.,57,6,affected,
129,condition1,2,Receiving the loan enabled her to buy the house.,3,6,enabled,
129,condition1,0,The lightning strike caused the fire.,14,5,caused,
129,condition1,1,The crank caused him to open the window.,23,2,caused,
129,condition1,5,The earthquake affected the building to fall.,25,1,affected,
129,condition1,4,The distracting noise affected his performance.,30,6,affected,
129,condition1,3,The cold breeze enabled him to close the window.,44,2,enabled,
158,condition1,4,The distracting noise affected his performance.,5,6,affected,
158,condition1,1,The crank caused him to open the window.,13,1,caused,
158,condition1,5,The earthquake affected the building to fall.,26,0,affected,
158,condition1,3,The cold breeze enabled him to close the window.,41,0,enabled,
158,condition1,2,Receiving the loan enabled her to buy the house.,52,6,enabled,
158,condition1,0,The lightning strike caused the fire.,64,6,caused,
176,condition1,2,Receiving the loan enabled her to buy the house.,8,6,enabled,
176,condition1,5,The earthquake affected the building to fall.,24,1,affected,
176,condition1,0,The lightning strike caused the fire.,44,5,caused,
176,condition1,3,The cold breeze enabled him to close the window.,46,0,enabled,
176,condition1,4,The distracting noise affected his performance.,55,5,affected,
176,condition1,1,The crank caused him to open the window.,57,0,caused,
137,condition1,4,The distracting noise affected his performance.,5,6,affected,
137,condition1,3,The cold breeze enabled him to close the window.,18,0,enabled,
137,condition1,1,The crank caused him to open the window.,33,6,caused,
137,condition1,5,The earthquake affected the building to fall.,36,0,affected,
137,condition1,2,Receiving the loan enabled her to buy the house.,59,6,enabled,
137,condition1,0,The lightning strike caused the fire.,65,6,caused,
151,condition1,0,The lightning strike caused the fire.,9,6,caused,
151,condition1,3,The cold breeze enabled him to close the window.,21,0,enabled,
151,condition1,4,The distracting noise affected his performance.,29,6,affected,
151,condition1,2,Receiving the loan enabled her to buy the house.,31,6,enabled,
151,condition1,5,The earthquake affected the building to fall.,45,6,affected,
151,condition1,1,The crank caused him to open the window.,53,0,caused,
152,condition1,0,The lightning strike caused the fire.,28,6,caused,
152,condition1,5,The earthquake affected the building to fall.,30,3,affected,
152,condition1,4,The distracting noise affected his performance.,34,5,affected,
152,condition1,3,The cold breeze enabled him to close the window.,35,1,enabled,
152,condition1,2,Receiving the loan enabled her to buy the house.,52,5,enabled,
152,condition1,1,The crank caused him to open the window.,55,3,caused,
134,condition1,4,The distracting noise affected his performance.,5,6,affected,
134,condition1,5,The earthquake affected the building to fall.,26,0,affected,
134,condition1,3,The cold breeze enabled him to close the window.,46,0,enabled,
134,condition1,0,The lightning strike caused the fire.,57,6,caused,
134,condition1,2,Receiving the loan enabled her to buy the house.,61,6,enabled,
134,condition1,1,The crank caused him to open the window.,62,0,caused,
165,condition1,4,The distracting noise affected his performance.,9,2,affected,
165,condition1,0,The lightning strike caused the fire.,12,6,caused,
