workerid,proliferate.condition,fill_num,item,order,response,verb,error
65,condition1,5,The earthquake affected the building to fall.,0,0,affected,
65,condition1,1,The crank caused him to open the window.,6,3,caused,
65,condition1,2,Receiving the loan enabled her to buy the house.,15,6,enabled,
65,condition1,3,The cold breeze enabled him to close the window.,22,4,enabled,
65,condition1,4,The distracting noise affected his performance.,57,6,affected,
65,condition1,0,The lightning strike caused the fire.,62,6,caused,
67,condition1,1,The crank caused him to open the window.,0,2,caused,
67,condition1,2,Receiving the loan enabled her to buy the house.,10,6,enabled,
67,condition1,0,The lightning strike caused the fire.,22,6,caused,
67,condition1,5,The earthquake affected the building to fall.,25,0,affected,
67,condition1,4,The distracting noise affected his performance.,37,6,affected,
67,condition1,3,The cold breeze enabled him to close the window.,46,1,enabled,
75,condition1,1,The crank caused him to open the window.,0,0,caused,
75,condition1,4,The distracting noise affected his performance.,24,6,affected,
75,condition1,0,The lightning strike caused the fire.,29,6,caused,
75,condition1,3,The cold breeze enabled him to close the window.,36,0,enabled,
75,condition1,5,The earthquake affected the building to fall.,53,2,affected,
75,condition1,2,Receiving the loan enabled her to buy the house.,57,6,enabled,
64,condition1,5,The earthquake affected the building to fall.,4,6,affected,
64,condition1,1,The crank caused him to open the window.,26,6,caused,
64,condition1,3,The cold breeze enabled him to close the window.,28,4,enabled,
64,condition1,4,The distracting noise affected his performance.,38,6,affected,
64,condition1,2,Receiving the loan enabled her to buy the house.,40,6,enabled,
64,condition1,0,The lightning strike caused the fire.,43,6,caused,
86,condition1,0,The lightning strike caused the fire.,18,6,caused,
86,condition1,2,Receiving the loan enabled her to buy the house.,19,6,enabled,
86,condition1,1,The crank caused him to open the window.,20,1,caused,
86,condition1,4,The distracting noise affected his performance.,53,6,affected,
86,condition1,5,The earthquake affected the building to fall.,58,0,affected,
86,condition1,3,The cold breeze enabled him to close the window.,60,0,enabled,
100,condition1,1,The crank caused him to open the window.,4,3,caused,
100,condition1,5,The earthquake affected the building to fall.,32,0,affected,
100,condition1,3,The cold breeze enabled him to close the window.,44,0,enabled,
100,condition1,0,The lightning strike caused the fire.,50,6,caused,
100,condition1,4,The distracting noise affected his performance.,58,6,affected,
100,condition1,2,Receiving the loan enabled her to buy the house.,61,6,enabled,
61,condition1,2,Receiving the loan enabled her to buy the house.,11,5,enabled,
61,condition1,5,The earthquake affected the building to fall.,29,1,affected,
61,condition1,3,The cold breeze enabled him to close the window.,30,1,enabled,
61,condition1,4,The distracting noise affected his performance.,44,2,affected,
61,condition1,1,The crank caused him to open the window.,45,4,caused,
61,condition1,0,The lightning strike caused the fire.,64,4,caused,
97,condition1,2,Receiving the loan enabled her to buy the house.,7,4,enabled,
97,condition1,0,The lightning strike caused the fire.,20,6,caused,
97,condition1,5,The earthquake affected the building to fall.,29,0,affected,
97,condition1,3,The cold breeze enabled him to close the window.,43,0,enabled,
97,condition1,1,The crank caused him to open the window.,56,1,caused,
97,condition1,4,The distracting noise affected his performance.,62,6,affected,
73,condition1,0,The lightning strike caused the fire.,1,6,caused,
73,condition1,1,The crank caused him to open the window.,17,1,caused,
73,condition1,5,The earthquake affected the building to fall.,27,0,affected,
73,condition1,3,The cold breeze enabled him to close the window.,37,0,enabled,
73,condition1,4,The distracting noise affected his performance.,38,6,affected,
73,condition1,2,Receiving the loan enabled her to buy the house.,43,6,enabled,
93,condition1,0,The lightning strike caused the fire.,5,6,caused,
93,condition1,2,Receiving the loan enabled her to buy the house.,10,5,enabled,
93,condition1,4,The distracting noise affected his performance.,20,6,affected,
93,condition1,1,The crank caused him to open the window.,29,0,caused,
93,condition1,5,The earthquake affected the building to fall.,45,0,affected,
93,condition1,3,The cold breeze enabled him to close the window.,46,0,enabled,
101,condition1,3,The cold breeze enabled him to close the window.,3,0,enabled,
101,condition1,1,The crank caused him to open the window.,25,0,caused,
101,condition1,4,The distracting noise affected his performance.,36,0,affected,
101,condition1,5,The earthquake affected the building to fall.,38,0,affected,
101,condition1,2,Receiving the loan enabled her to buy the house.,47,0,enabled,
101,condition1,0,The lightning strike caused the fire.,57,6,caused,
102,condition1,3,The cold breeze enabled him to close the window.,0,4,enabled,
102,condition1,4,The distracting noise affected his performance.,17,6,affected,
102,condition1,2,Receiving the loan enabled her to buy the house.,29,5,enabled,
102,condition1,1,The crank caused him to open the window.,31,3,caused,
102,condition1,5,The earthquake affected the building to fall.,36,0,affected,
102,condition1,0,The lightning strike caused the fire.,57,6,caused,
69,condition1,2,Receiving the loan enabled her to buy the house.,4,6,enabled,
69,condition1,3,The cold breeze enabled him to close the window.,6,2,enabled,
69,condition1,4,The distracting noise affected his performance.,9,6,affected,
69,condition1,0,The lightning strike caused the fire.,12,6,caused,
69,condition1,5,The earthquake affected the building to fall.,30,2,affected,
69,condition1,1,The crank caused him to open the window.,58,6,caused,
94,condition1,1,The crank caused him to open the window.,11,0,caused,
94,condition1,3,The cold breeze enabled him to close the window.,13,0,enabled,
94,condition1,5,The earthquake affected the building to fall.,28,0,affected,
94,condition1,0,The lightning strike caused the fire.,31,6,caused,
94,condition1,2,Receiving the loan enabled her to buy the house.,38,6,enabled,
94,condition1,4,The distracting noise affected his performance.,64,6,affected,
68,condition1,4,The distracting noise affected his performance.,16,6,affected,
68,condition1,3,The cold breeze enabled him to close the window.,17,0,enabled,
68,condition1,5,The earthquake affected the building to fall.,24,0,affected,
68,condition1,2,Receiving the loan enabled her to buy the house.,36,6,enabled,
68,condition1,1,The crank caused him to open the window.,37,0,caused,
68,condition1,0,The lightning strike caused the fire.,54,6,caused,
82,condition1,1,The crank caused him to open the window.,11,5,caused,
82,condition1,2,Receiving the loan enabled her to buy the house.,21,5,enabled,
82,condition1,5,The earthquake affected the building to fall.,24,5,affected,
82,condition1,3,The cold breeze enabled him to close the window.,26,4,enabled,
82,condition1,4,The distracting noise affected his performance.,36,6,affected,
82,condition1,0,The lightning strike caused the fire.,44,6,caused,
95,condition1,1,The crank caused him to open the window.,3,5,caused,
95,condition1,2,Receiving the loan enabled her to buy the house.,8,6,enabled,
95,condition1,4,The distracting noise affected his performance.,19,6,affected,
95,condition1,0,The lightning strike caused the fire.,21,6,caused,
95,condition1,5,The earthquake affected the building to fall.,30,0,affected,
95,condition1,3,The cold breeze enabled him to close the window.,64,0,enabled,
71,condition1,5,The earthquake affected the building to fall.,15,2,affected,
71,condition1,2,Receiving the loan enabled her to buy the house.,23,6,enabled,
71,condition1,4,The distracting noise affected his performance.,30,6,affected,
71,condition1,3,The cold breeze enabled him to close the window.,40,5,enabled,
71,condition1,0,The lightning strike caused the fire.,44,6,caused,
71,condition1,1,The crank caused him to open the window.,56,5,caused,
59,condition1,3,The cold breeze enabled him to close the window.,9,1,enabled,
59,condition1,5,The earthquake affected the building to fall.,37,0,affected,
59,condition1,0,The lightning strike caused the fire.,44,6,caused,
59,condition1,4,The distracting noise affected his performance.,45,6,affected,
59,condition1,2,Receiving the loan enabled her to buy the house.,57,6,enabled,
59,condition1,1,The crank caused him to open the window.,62,6,caused,
111,condition1,2,Receiving the loan enabled her to buy the house.,3,6,enabled,
111,condition1,1,The crank caused him to open the window.,16,2,caused,
111,condition1,0,The lightning strike caused the fire.,20,6,caused,
111,condition1,4,The distracting noise affected his performance.,42,6,affected,
111,condition1,3,The cold breeze enabled him to close the window.,52,1,enabled,
111,condition1,5,The earthquake affected the building to fall.,56,0,affected,
91,condition1,5,The earthquake affected the building to fall.,20,0,affected,
91,condition1,4,The distracting noise affected his performance.,29,6,affected,
91,condition1,2,Receiving the loan enabled her to buy the house.,39,6,enabled,
91,condition1,3,The cold breeze enabled him to close the window.,44,2,enabled,
91,condition1,0,The lightning strike caused the fire.,56,6,caused,
91,condition1,1,The crank caused him to open the window.,62,2,caused,
66,condition1,5,The earthquake affected the building to fall.,12,0,affected,
66,condition1,0,The lightning strike caused the fire.,21,6,caused,
66,condition1,2,Receiving the loan enabled her to buy the house.,37,6,enabled,
66,condition1,3,The cold breeze enabled him to close the window.,52,0,enabled,
66,condition1,1,The crank caused him to open the window.,58,4,caused,
66,condition1,4,The distracting noise affected his performance.,65,6,affected,
85,condition1,0,The lightning strike caused the fire.,1,6,caused,
85,condition1,5,The earthquake affected the building to fall.,31,0,affected,
