"","trial","utterance","video_a","video_b","Mean","Lower","Upper"
"1",0,"affected",16,27,0.6858,0.61175,0.75667
"2",1,"affected",14,15,0.4442,0.38057,0.51021
"3",2,"affected",4,6,0.6936,0.6242,0.760215
"4",3,"affected",13,20,0.4784,0.398935,0.55901
"5",4,"affected",24,25,0.4196,0.337195,0.502835
"6",5,"affected",6,22,0.2108,0.143945,0.28661
"7",6,"affected",17,23,0.2102,0.1424,0.28443
"8",7,"affected",17,22,0.1922,0.13518,0.25544
"9",8,"affected",17,29,0.1424,0.087195,0.19981
"10",9,"caused",9,16,0.4966,0.413185,0.57865
"11",10,"caused",3,8,0.5508,0.479795,0.63124
"12",11,"caused",9,15,0.539,0.477785,0.603
"13",12,"caused",1,13,0.6706,0.58779,0.753615
"14",13,"caused",9,19,0.3462,0.272995,0.423405
"15",14,"caused",14,15,0.6836,0.617575,0.747005
"16",15,"caused",5,29,0.1278,0.067195,0.1976
"17",16,"caused",12,18,0.1916,0.135195,0.25581
"18",17,"caused",12,24,0.2198,0.1512,0.290225
"19",18,"no_difference",2,28,0.2762,0.203565,0.355215
"20",19,"no_difference",22,29,0.4882,0.424775,0.55103
"21",20,"no_difference",4,28,0.2886,0.224185,0.354805
"22",21,"no_difference",2,11,0.1978,0.120165,0.281805
"23",22,"no_difference",2,13,0.197,0.124575,0.2844
"24",23,"no_difference",4,6,0.282,0.2096,0.360805
"25",24,"no_difference",7,23,0.723,0.645385,0.801205
"26",25,"no_difference",0,20,0.234,0.154595,0.313815
"27",26,"no_difference",0,26,0.1842,0.11539,0.259
"28",27,"enabled",1,18,0.5834,0.5276,0.63841
"29",28,"enabled",14,21,0.502,0.440185,0.569605
"30",29,"enabled",11,21,0.4366,0.35799,0.510015
"31",30,"enabled",0,21,0.7934,0.720775,0.85642
"32",31,"enabled",11,28,0.2504,0.183395,0.327215
"33",32,"enabled",10,25,0.7004,0.613945,0.775805
"34",33,"enabled",12,18,0.781,0.7004,0.850035
"35",34,"enabled",7,23,0.1744,0.109995,0.23941
"36",35,"enabled",3,25,0.7284,0.649385,0.801815
